*******************************************************************************
JPL/HORIZONS                      (2016 UD)                2022-Mar-01 11:35:33
Rec #:50404826 (+COV) Soln.date: 2021-Apr-15_17:57:08        # obs: 24 (1 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2457681.5 ! 2016-Oct-20.00 (TDB)         Residual RMS= .28881
   EC= .6652563186076559   QR= .5142553441503127   TP= 2457629.7352047153
   OM= 24.92716255681642   W=  257.6862252587613   IN= 10.25730622636725
   A= 1.536266023039783    MA= 26.7940853481746    ADIST= 2.558276701929254
   PER= 1.90418            N= .517612104           ANGMOM= .015918839
   DAN= .99795             DDN= .74996             L= 282.4196484
   B= -10.0188657          MOID= .00037198         TP= 2016-Aug-29.2352047153
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 26.6                 G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#3, OCC=8
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Mar  1 11:35:33 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: (2016 UD)                       {source: JPL#3}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2014-Aug-01 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Keplerian GM    : 1.3271244004127939E+11 km^3/s^2
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2457681.5 ! 2016-Oct-20.00 (TDB)         Residual RMS= .28881        
   EC= .6652563186076559   QR= .5142553441503127   TP= 2457629.7352047153      
   OM= 24.92716255681642   W=  257.6862252587613   IN= 10.25730622636725       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 9.127220629997818E-01  Y= 4.170766354247865E-01  Z= 1.866770086712808E-01
  VX= 3.846163980895495E-03 VY= 1.638335775161015E-02 VZ= 1.019741873040630E-02
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 26.6                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2456870.500000000, A.D. 2014-Aug-01 00:00:00.0000,  6.825625691926719E-01,  8.027253032080264E+07,  8.445205319842232E+00,  2.498393775034824E+01,  2.620158397062734E+02,  2.456900496361068E+06,  5.190572045479759E-06,  3.465476691935579E+02,  2.848258732241547E+02,  2.528767011396488E+08,  4.254808719584949E+08,  6.935651732519697E+07,
2456871.500000000, A.D. 2014-Aug-02 00:00:00.0000,  6.825626719096751E-01,  8.027253414039214E+07,  8.445204879066431E+00,  2.498393734709808E+01,  2.620158313070931E+02,  2.456900496357633E+06,  5.190569155644802E-06,  3.469961433982264E+02,  2.864361256946416E+02,  2.528767949985740E+08,  4.254810558567558E+08,  6.935655593924531E+07,
2456872.500000000, A.D. 2014-Aug-03 00:00:00.0000,  6.825627839054899E-01,  8.027253820959437E+07,  8.445204409359311E+00,  2.498393682410454E+01,  2.620158223511327E+02,  2.456900496353969E+06,  5.190566014016697E-06,  3.474446178157229E+02,  2.880976161939002E+02,  2.528768970355855E+08,  4.254812558615766E+08,  6.935659791780888E+07,
2456873.500000000, A.D. 2014-Aug-04 00:00:00.0000,  6.825629048926457E-01,  8.027254246113226E+07,  8.445203913752685E+00,  2.498393616972704E+01,  2.620158129463770E+02,  2.456900496350106E+06,  5.190562634171877E-06,  3.478930923352904E+02,  2.898123353625906E+02,  2.528770068097581E+08,  4.254814711583838E+08,  6.935664307949072E+07,
2456874.500000000, A.D. 2014-Aug-05 00:00:00.0000,  6.825630344954580E-01,  8.027254683574647E+07,  8.445203395067209E+00,  2.498393537279888E+01,  2.620158031957847E+02,  2.456900496346075E+06,  5.190559031072774E-06,  3.483415668476236E+02,  2.915822971460967E+02,  2.528771238351505E+08,  4.254817008345544E+08,  6.935669122437395E+07,
2456875.500000000, A.D. 2014-Aug-06 00:00:00.0000,  6.825631722713490E-01,  8.027255128222473E+07,  8.445202855932548E+00,  2.498393442249086E+01,  2.620157931957340E+02,  2.456900496341906E+06,  5.190555220541974E-06,  3.487900412470360E+02,  2.934095250416283E+02,  2.528772475978836E+08,  4.254819439135424E+08,  6.935674214104795E+07,
2456876.500000000, A.D. 2014-Aug-07 00:00:00.0000,  6.825633177316321E-01,  8.027255575696687E+07,  8.445202298820936E+00,  2.498393330820530E+01,  2.620157830351184E+02,  2.456900496337628E+06,  5.190551218794682E-06,  3.492385154331350E+02,  2.952960352665721E+02,  2.528773775713255E+08,  4.254821993856841E+08,  6.935679561285536E+07,
2456877.500000000, A.D. 2014-Aug-08 00:00:00.0000,  6.825634703596722E-01,  8.027256022320707E+07,  8.445201726089055E+00,  2.498393201950751E+01,  2.620157727950610E+02,  2.456900496333269E+06,  5.190547042068676E-06,  3.496869893119498E+02,  2.972438164506505E+02,  2.528775132281094E+08,  4.254824662330117E+08,  6.935685142283636E+07,
