*******************************************************************************
JPL/HORIZONS                     (2022 CJ5)                2022-Mar-10 16:09:35
Rec #:50571092 (+COV) Soln.date: 2022-Feb-22_04:50:42        # obs: 29 (1 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459620.5 ! 2022-Feb-10.00 (TDB)         Residual RMS= .42138
   EC= .4990390561298023   QR= .905125261594251    TP= 2459652.2131769331
   OM= 141.4803770284515   W=  41.19860137880655   IN= 5.910287545004723
   A= 1.806778098511358    MA= 347.1297614021126   ADIST= 2.708430935428466
   PER= 2.42865            N= .405832511           ANGMOM= .020037441
   DAN= .98642             DDN= 2.17262            L= 182.5276862
   B= 3.8890209            MOID= .00011315         TP= 2022-Mar-13.7131769331
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 30.277               G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#3, OCC=6
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu Mar 10 16:09:35 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: (2022 CJ5)                      {source: JPL#3}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2009-Jul-01 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Keplerian GM    : 1.3271244004127939E+11 km^3/s^2
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459620.5 ! 2022-Feb-10.00 (TDB)         Residual RMS= .42138        
   EC= .4990390561298023   QR= .905125261594251    TP= 2459652.2131769331      
   OM= 141.4803770284515   W=  41.19860137880655   IN= 5.910287545004723       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-7.670212676062523E-01  Y= 5.733331975552176E-01  Z= 2.473462534766961E-01
  VX=-8.912382992377147E-03 VY=-1.801597466875087E-02 VZ=-5.531181707487932E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 30.277               G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2455013.500000000, A.D. 2009-Jul-01 00:00:00.0000,  4.935264338841941E-01,  1.345926977897880E+08,  5.092768322227792E+00,  1.417492061130772E+02,  4.221454870069685E+01,  2.455269986310404E+06,  4.818161771136338E-06,  2.532275249232887E+02,  2.111740366740425E+02,  2.657447629932442E+08,  3.968968281967003E+08,  7.471729200887664E+07,
2455016.500000000, A.D. 2009-Jul-04 00:00:00.0000,  4.935266130544136E-01,  1.345928328462076E+08,  5.092767958597351E+00,  1.417491921225500E+02,  4.221438409029216E+01,  2.455269985935527E+06,  4.818151962295093E-06,  2.544767633371075E+02,  2.118109634483485E+02,  2.657451236636600E+08,  3.968974144811124E+08,  7.471744411907600E+07,
2455019.500000000, A.D. 2009-Jul-07 00:00:00.0000,  4.935268556500499E-01,  1.345929497512924E+08,  5.092767777009493E+00,  1.417491848452717E+02,  4.221421551075018E+01,  2.455269985552575E+06,  4.818142223088269E-06,  2.557259985194531E+02,  2.124542930562134E+02,  2.657454817748337E+08,  3.968980137983750E+08,  7.471759515003523E+07,
2455022.500000000, A.D. 2009-Jul-10 00:00:00.0000,  4.935271527027386E-01,  1.345930497056258E+08,  5.092767735226955E+00,  1.417491831068186E+02,  4.221404556595970E+01,  2.455269985167183E+06,  4.818132617019847E-06,  2.569752268212849E+02,  2.131042393713895E+02,  2.657458349916828E+08,  3.968986202777398E+08,  7.471774411694594E+07,
2455025.500000000, A.D. 2009-Jul-13 00:00:00.0000,  4.935274861006591E-01,  1.345931380162833E+08,  5.092767772225706E+00,  1.417491847441320E+02,  4.221387632661483E+01,  2.455269984785413E+06,  4.818123117563401E-06,  2.582244463832440E+02,  2.137610256500414E+02,  2.657461842895448E+08,  3.968992305628064E+08,  7.471789143114664E+07,
2455028.500000000, A.D. 2009-Jul-16 00:00:00.0000,  4.935278362339514E-01,  1.345932218047204E+08,  5.092767830639017E+00,  1.417491874450443E+02,  4.221370863021047E+01,  2.455269984411482E+06,  4.818113622145022E-06,  2.594736576722021E+02,  2.144248848047011E+02,  2.657465334400730E+08,  3.968998450754255E+08,  7.471803868330698E+07,
2455031.500000000, A.D. 2009-Jul-19 00:00:00.0000,  4.935281894211297E-01,  1.345933070533952E+08,  5.092767874225252E+00,  1.417491895624156E+02,  4.221354212692266E+01,  2.455269984046778E+06,  4.818104004757638E-06,  2.607228627104825E+02,  2.150960589766094E+02,  2.657468870766217E+08,  3.969004670998483E+08,  7.471818782751843E+07,
2455034.500000000, A.D. 2009-Jul-22 00:00:00.0000,  4.935285402413663E-01,  1.345933971014031E+08,  5.092767890044929E+00,  1.417491903695251E+02,  4.221337586626439E+01,  2.455269983690497E+06,  4.818094163458626E-06,  2.619720638117860E+02,  2.157747991446734E+02,  2.657472489477404E+08,  3.969011007940776E+08,  7.471834044471584E+07,
