"signature__source","signature__version","count","fields","data__001","data__002","data__003","data__004","data__005","data__006","data__007","data__008","data__009","data__010","data__011"
"NASA/JPL SBDB Close Approach Data API","1.4","934","des","4581","110","2447608.404456280","1989-Mar-22 21:42","0.00457230878918889","0.00457164033636366","0.00457297730856269","10.6544388515456","10.5996029143706","< 00:01","20.79"
"","","","orbit_id","69230","145","2428837.212429633","1937-Oct-30 17:06","0.00495048315092569","0.00494953314114853","0.00495143324491984","18.2693970663748","18.2399127445554","< 00:01","17.51"
"","","","jd","69230","145","2430476.263218356","1942-Apr-26 18:19","0.00424153974730661","0.00424151544075554","0.00424156405429939","18.4801750310911","18.4461512395621","< 00:01","17.51"
"","","","cd","152680","35","2420498.000375301","1914-Dec-31 12:01","0.0015574336824844","0.00155319713601045","0.00156167145646694","21.1045856776594","21.023365778068","< 00:01","19.4"
"","","","dist","163132","124","2424393.484917308","1925-Aug-30 23:38","0.00231903745834309","0.00231373794183209","0.00232436479628465","26.4761515050258","26.4327198787829","< 00:01","18.42"
"","","","dist_min","308635","135","2455874.478458848","2011-Nov-08 23:29","0.00217202725316259","0.00217202298799098","0.00217203151835729","13.7164974835211","13.6267697546619","< 00:01","21.65"
"","","","dist_max","410777","102","2454918.149928984","2009-Mar-27 15:36","0.00417283417835373","0.00417279116428618","0.00417287719242271","16.0165951015881","15.9766785932928","< 00:01","22.1"
"","","","v_rel","458732","82","2421854.433530628","1918-Sep-17 22:24","0.00233967337205527","0.00233857823663232","0.00234088943003291","12.9886132943755","12.9006365974032","00:04","17.98"
"","","","v_inf","503911","54","2419132.645997209","1911-Apr-06 03:30","0.00366824498935952","0.00365124838099309","0.00368527614944984","11.4807035604579","11.4172600568439","00:02","22.3"
"","","","t_sigma_f","1991 BA","12","2448275.221282963","1991-Jan-18 17:19","0.00112446043413181","0.000929412966091522","0.00131854503214437","17.8888069342035","17.7558522302169","00:02","28.6"
"","","","h","1993 KA2","13","2449128.359670958","1993-May-20 20:38","0.000997392179898225","0.000993261104067781","0.00100152301049916","24.0496273880613","23.9382891102778","< 00:01","29.0"
"","","","","1994 ES1","13","2449427.219575344","1994-Mar-15 17:16","0.00112895189306538","0.00112551333269192","0.00113239014852898","18.6634607599846","18.5365718707926","< 00:01","28.5"
"","","","","1994 XM1","10","2449696.288091836","1994-Dec-09 18:55","0.000703840697550953","0.00068622480304322","0.000721426776786566","11.3160323028891","10.9763987840976","00:02","28.2"
"","","","","1995 FF","13","2449803.646121512","1995-Mar-27 03:30","0.00289577209016271","0.00288699813141553","0.00290454577979028","18.9042390842063","18.8555031884075","< 00:01","26.5"
"","","","","1995 UB","13","2450007.660593609","1995-Oct-17 03:51","0.00499703968132427","0.00498397457301414","0.0050101043137373","12.3119021200685","12.268517053354","< 00:01","27.3"
"","","","","1996 JA1","30","2450223.191144050","1996-May-19 16:35","0.00302916193330151","0.00302822833742755","0.00303009552692928","21.1924174105494","21.1508708304131","< 00:01","21.0"
"","","","","2000 YA","53","2451900.787793265","2000-Dec-22 06:54","0.00494851188779366","0.00494848736846278","0.00494853640714367","14.1889296859293","14.1509308733572","< 00:01","23.7"
"","","","","2001 WM15","12","2452242.830145110","2001-Nov-29 07:55","0.00485830498737882","0.00483077861903433","0.00488582990584915","15.2237345256486","15.1876666014672","< 00:01","25.0"
"","","","","2002 CB26","9","2452314.299443256","2002-Feb-08 19:11","0.00318636053259569","0.00312391531090968","0.00324879781389655","22.3641040997354","22.3266818885239","00:01","26.9"
"","","","","2002 EM7","17","2452341.541070185","2002-Mar-08 00:59","0.00311008465444615","0.00310371827156376","0.00311645057748887","10.2857862614941","10.2021543862793","00:03","24.4"
"","","","","2002 JE9","51","2441052.606287679","1971-Apr-11 02:33","0.00178820175890372","0.00166391602752811","0.00192617703843057","13.2166952002567","13.1034715378991","00:14","21.4"
"","","","","2002 MN","19","2452439.585356751","2002-Jun-14 02:03","0.000802120014394821","0.00080149790688339","0.000802742069198423","10.574933617567","10.2560045003333","00:02","23.6"
"","","","","2002 NY40","66","2452504.825253932","2002-Aug-18 07:48","0.0035226060181049","0.00352259115921113","0.00352262087699868","20.896302163321","20.8600732350856","< 00:01","19.0"
"","","","","2003 HW10","10","2452758.766782993","2003-Apr-29 06:24","0.00220629986171607","0.00220414558030993","0.00220845408930842","13.3106958635747","13.2196553255054","< 00:01","27.0"
"","","","","2003 SR84","25","2424055.891501025","1924-Sep-27 09:24","0.00429071445030976","0.000259162307905544","0.0165422777923067","10.6077411322339","10.549037740738","1_16:58","26.0"
"","","","","2003 SQ222","8","2452910.455645348","2003-Sep-27 22:56","0.000563056369189049","0.000561596174218194","0.000564516295097979","15.4264792746878","15.116610720933","< 00:01","30.1"
"","","","","2003 UM3","7","2452924.581178546","2003-Oct-12 01:57","0.00185364539944093","0.00150753136645287","0.00220134042529704","12.8947704834191","12.782810820609","21:18","28.1"
"","","","","2003 XV","14","2452980.447611590","2003-Dec-06 22:45","0.00305726546766975","0.00305721596110972","0.00305731497427705","12.0027418432331","11.9299104916335","< 00:01","26.7"
"","","","","2003 XV","14","2455902.778872826","2011-Dec-07 06:42","0.00271702309016337","0.00271696226417447","0.0027170839161535","11.9250926185893","11.8425719927869","< 00:01","26.7"
"","","","","2003 XJ7","9","2452980.294771002","2003-Dec-06 19:04","0.000990617054842303","0.000989495720613654","0.000991738342991924","16.9288118517048","16.7691752064217","< 00:01","26.4"
"","","","","2004 BK86","7","2453037.460933594","2004-Feb-01 23:04","0.00458544323952223","0.00427482670253068","0.00489577137679282","15.698562047095","15.6615038690377","01:05","25.4"
"","","","","2004 FU162","11","2453096.149229168","2004-Mar-31 15:35","8.63189689546789e-05","2.32222050518807e-05","0.000196402067904961","13.3906449624196","10.8431411817427","01:32","28.7"
"","","","","2004 HE","8","2453113.514889586","2004-Apr-18 00:21","0.00184974909825208","0.00184800537144953","0.001851492798257","18.2508279793705","18.1717311506894","< 00:01","26.8"
"","","","","2004 KF17","9","2453157.382192422","2004-May-31 21:10","0.00465637253791326","0.00463157178899237","0.00468117098515415","11.399513735521","11.3492056628622","< 00:01","26.1"
"","","","","2004 PZ19","10","2453229.338519012","2004-Aug-11 20:07","0.00410887836770788","0.00409650711705668","0.00412124889239859","11.3748266638107","11.3176739692289","< 00:01","24.5"
"","","","","2004 RU109","9","2453262.155067049","2004-Sep-13 15:43","0.0024657048538189","0.00245988652781394","0.00247152284351785","12.934160766566","12.8503417606922","< 00:01","26.4"
"","","","","2004 ST26","7","2453270.480235684","2004-Sep-21 23:32","0.00245709319688152","0.00245128362206315","0.00246290264328448","21.3803584056318","21.3295785112717","00:02","26.3"
"","","","","2004 UH1","8","2437232.148673672","1960-Oct-24 15:34","0.00123030862494184","0.00104453984914588","0.00580136300211582","11.794496427383","11.6094248806011","02:50","28.1"
"","","","","2004 UH1","8","2453303.230305188","2004-Oct-24 17:32","0.00198182956178897","0.00197900614976541","0.00198465284031238","11.7466550624737","11.6316377391262","< 00:01","28.1"
"","","","","2004 XP14","127","2453919.684796548","2006-Jul-03 04:26","0.00289067226897535","0.00289066035397809","0.00289068418397754","17.4067562735116","17.3537218619279","< 00:01","19.4"
"","","","","2004 XB45","10","2453356.298495852","2004-Dec-16 19:10","0.00217441881582773","0.00217028020289304","0.00217855729819744","17.1255711421577","17.0538686559429","< 00:01","26.2"
"","","","","2004 YD5","7","2453359.359512180","2004-Dec-19 20:38","0.000226525127435088","0.00022600375691978","0.000227046449362596","25.3540893932745","24.8858402988563","< 00:01","29.3"
"","","","","2005 BS1","9","2453383.925827820","2005-Jan-13 10:13","0.00175532769103293","0.00174694435370343","0.00176370935699093","12.5062310626873","12.3842617284051","00:10","27.5"
"","","","","2005 FN","9","2453448.405240005","2005-Mar-18 21:44","0.000962711963141293","0.000961701354546368","0.00096372249462606","10.6237993829195","10.3600073306426","< 00:01","26.9"
"","","","","2005 GA120","7","2453466.977668238","2005-Apr-06 11:28","0.00474008696830731","0.00467554527539782","0.00480461753694526","12.149085314922","12.1027286894773","00:22","24.9"
"","","","","2005 MA","12","2453542.981784405","2005-Jun-21 11:34","0.00486397270410514","0.00485126362161414","0.00487668139728613","13.5191090584977","13.4785278036642","< 00:01","26.9"
"","","","","2005 TK50","10","2453653.669293362","2005-Oct-10 04:04","0.000890942525009157","0.000602847666699304","0.00117738076808928","17.953335002669","17.7859770030991","00:45","29.1"
"","","","","2005 WN3","7","2453700.522189036","2005-Nov-26 00:32","0.00056036079628849","0.000556189905813963","0.000564530910641707","19.3022296657776","19.0542960889412","< 00:01","29.9"
"","","","","2005 XA8","12","2453709.966765173","2005-Dec-05 11:12","0.00145219166969304","0.00144846291394087","0.00145591996331494","12.2186908701318","12.0675933494682","< 00:01","25.7"
"","","","","2006 BF56","9","2453764.939339105","2006-Jan-29 10:33","0.00136740602874035","0.00136520875652752","0.0013696032595874","25.4468872473938","25.3701978876765","< 00:01","29.6"
"","","","","2006 BH99","10","2453767.019104138","2006-Jan-31 12:28","0.00303298443074409","0.00302918249089245","0.00303678631938277","17.8636403833145","17.8143943507906","< 00:01","27.2"
"","","","","2006 DD1","9","2453789.789155485","2006-Feb-23 06:56","0.00078532887852675","0.000784949984132816","0.000785707764399653","17.2252727728028","17.0271660171335","< 00:01","26.5"
"","","","","2006 DM63","8","2453790.662158932","2006-Feb-24 03:54","0.00153026082863804","0.0015161639193554","0.00154436036121805","10.5047424611388","10.3376606788927","00:46","26.7"
"","","","","2006 EH1","7","2453802.004483407","2006-Mar-07 12:06","0.00503118622513227","0.00496792745866405","0.00509443550740884","12.594054472071","12.5519330267779","00:03","26.5"
"","","","","2006 HF6","14","2453843.853491160","2006-Apr-18 08:29","0.00488769022414045","0.00487013555093849","0.00490524436623431","16.2908587724315","16.2573613465355","< 00:01","24.4"
"","","","","2006 MB14","12","2446244.527541467","1985-Jun-28 00:40","0.0044010262126962","0.00411947871615406","0.130557038608039","10.5496651294278","10.4921203660967","4_10:32","25.4"
"","","","","2006 MB14","12","2453914.809190359","2006-Jun-28 07:25","0.00447984460910815","0.00446364993832341","0.00449603807739737","10.5639885552008","10.507536020881","< 00:01","25.4"
"","","","","2006 OK3","9","2453939.947781067","2006-Jul-23 10:45","0.00187767808328276","0.00187635812457206","0.0018789980186381","14.7271196132811","14.6304475132893","< 00:01","27.1"
"","","","","2006 QM111","8","2453979.395774825","2006-Aug-31 21:30","0.00106895900354906","0.00106519732526646","0.00107272033280832","18.9654796413285","18.8335931982713","< 00:01","27.6"
"","","","","2006 SO198","9","2454011.483738871","2006-Oct-02 23:37","0.00313781884060854","0.00311883214893385","0.00315680513268431","30.8282863336842","30.800729503898","< 00:01","23.9"
"","","","","2006 UE64","9","2454029.611189354","2006-Oct-21 02:40","0.00113674840886327","0.00112715906593544","0.00114633326924458","11.8070629480985","11.6068444956422","00:04","28.0"
"","","","","2006 UJ185","9","2454039.196567697","2006-Oct-30 16:43","0.00178596600977921","0.00178271297030391","0.00178921895442713","15.5939151744769","15.4979480649002","00:02","27.9"
"","","","","2006 WV","12","2454060.921833682","2006-Nov-21 10:07","0.00232863198960974","0.00232558038472831","0.00233168351087415","14.7586786828721","14.6809450009486","< 00:01","27.2"
"","","","","2006 WP1","7","2454056.141283911","2006-Nov-16 15:23","0.00207553166201908","0.00206546857970035","0.00208559413317488","18.0168941593131","17.9454997185198","00:05","28.2"
"","","","","2006 WX29","8","2454059.741178625","2006-Nov-20 05:47","0.00220664762853264","0.00217890059456618","0.00223439213509558","21.1509216663566","21.0937557240333","00:13","27.8"
"","","","","2007 CC19","7","2454144.357627293","2007-Feb-12 20:35","0.00469239365450219","0.00451657368512745","0.00486819349147355","18.8917426736626","18.8616617066221","00:31","27.0"
"","","","","2007 CC27","12","2454143.027766384","2007-Feb-11 12:40","0.00221063343052926","0.00219892356801787","0.0022223409583517","10.9420328693614","10.8313194359135","< 00:01","27.0"
"","","","","2007 DS7","11","2454149.708135435","2007-Feb-18 05:00","0.00457551085935809","0.00453648494393559","0.00461453186238311","12.5980890876819","12.5517799136741","00:02","25.8"
"","","","","2007 DN41","10","2454152.903144772","2007-Feb-21 09:41","0.00201995518409314","0.00201635811368136","0.0020235520667977","13.0595708831537","12.958172508774","< 00:01","26.4"
"","","","","2007 EH","17","2437734.725662150","1962-Mar-11 05:25","0.00360362090557324","0.00262239641122182","0.00891454407418434","17.0429915191557","16.9995523761484","11:18","27.6"
"","","","","2007 EH","17","2454170.568007880","2007-Mar-11 01:38","0.00117436216026787","0.00117428583253395","0.00117443848799286","17.4029748398997","17.2721100626741","< 00:01","27.6"
"","","","","2007 EK26","14","2454169.543500029","2007-Mar-10 01:03","0.00457285039406811","0.00455047775614647","0.0045952222716299","18.6024655062965","18.5711167045265","00:01","25.0"
"","","","","2007 EO88","12","2431719.648874806","1945-Sep-21 03:34","0.00335570576425008","0.00299017291755159","0.0383692073794858","10.9868776987999","10.9143690787629","2_01:11","26.4"
"","","","","2007 EO88","12","2454178.336470534","2007-Mar-18 20:05","0.00322512974827943","0.00322345154877436","0.00322680792382653","10.9729868077057","10.8974361971617","< 00:01","26.4"
"","","","","2007 RS1","8","2454348.554719322","2007-Sep-05 01:19","0.000491684059353267","0.000490967567362547","0.000492400407001446","12.1465852167136","11.6919355030478","< 00:01","30.9"
"","","","","2007 TL16","15","2454379.385637365","2007-Oct-05 21:15","0.00417091639258599","0.0041558185073012","0.00418601329144432","11.3851526815854","11.3289035046017","00:01","26.2"
"","","","","2007 UO6","7","2454391.119407950","2007-Oct-17 14:52","0.00245408454815067","0.00237991476656976","0.00252818862443782","11.9411702890772","11.8498980115352","00:20","27.3"
"","","","","2007 US51","14","2454403.754043493","2007-Oct-30 06:06","0.00149496614045931","0.00148961518510232","0.00150031654364239","15.3136619764809","15.1968299833644","< 00:01","27.2"
"","","","","2007 VF189","7","2454418.639376117","2007-Nov-14 03:21","0.001563289938165","0.00156156100075942","0.00156501878612729","11.6118488453196","11.464127677817","< 00:01","28.3"
"","","","","2007 YN1","12","2454449.525003389","2007-Dec-15 00:36","0.00263147929795033","0.00261915228920351","0.00264380557181542","17.6657609369732","17.6083511011685","00:02","25.0"
"","","","","2007 YP56","7","2454462.201518308","2007-Dec-27 16:50","0.00138370461735444","0.00137530808598339","0.00139210031134371","21.3472536775856","21.2568580451757","00:11","25.8"
"","","","","2008 BC15","9","2454497.054534621","2008-Jan-31 13:19","0.00197727086614988","0.00196631560193708","0.00198822525700434","20.6963861457845","20.631172807701","< 00:01","26.6"
"","","","","2008 CT1","7","2454501.794128085","2008-Feb-05 07:04","0.000887142788662161","0.000867828546595536","0.000906459751387622","13.98147443869","13.7649827199733","00:39","27.7"
"","","","","2008 CD6","25","2436095.325484518","1957-Sep-13 19:49","0.00310795115734692","0.00310700079734313","0.00310890200521651","14.1164787198799","14.0556163271","< 00:01","23.85"
"","","","","2008 CF22","9","2454507.005270464","2008-Feb-10 12:08","0.00377752419617674","0.00377373452983956","0.00378131378639178","11.75294606597","11.6927772504439","< 00:01","26.0"
"","","","","2008 CK70","14","2454511.513240170","2008-Feb-15 00:19","0.00248136684180905","0.0024798009223903","0.00248293274778467","15.4438052639025","15.3741188692226","< 00:01","24.9"
"","","","","2008 EC32","7","2454533.057053902","2008-Mar-07 13:22","0.00509012119352949","0.0050533280655062","0.00512691309542436","16.7518782189086","16.7206011283607","00:14","26.7"
"","","","","2008 EF32","7","2454535.724611094","2008-Mar-10 05:23","0.000441691971063593","0.000334041534905161","0.000551161666684768","13.5793919843923","13.127643013285","05:08","29.4"
"","","","","2008 EM68","7","2454536.345097032","2008-Mar-10 20:17","0.00149426046895749","0.000379814278551719","0.00262473273185124","17.5645885206367","17.4627742616362","1_11:40","27.5"
"","","","","2008 FK","11","2454548.902347000","2008-Mar-23 09:39","0.00216992279698976","0.00215605030058537","0.00218379300664634","13.2684397876794","13.1755707922563","00:06","27.3"
"","","","","2008 FP","9","2454554.985340382","2008-Mar-29 11:39","0.00113857656201531","0.00113695403994512","0.00114019906327182","32.6352436138819","32.5634573799267","< 00:01","26.3"
"","","","","2008 GF1","9","2454564.171413695","2008-Apr-07 16:07","0.00196327656320618","0.00195119085687021","0.00197536042444662","14.6200215699838","14.5268961519465","< 00:01","28.3"
"","","","","2008 TS26","9","2454748.646048405","2008-Oct-09 03:30","8.44809011695201e-05","7.79397740262867e-05","9.09013529371405e-05","15.7641714138192","13.6172773878383","00:03","33.2"
"","","","","2008 US","9","2454760.479317384","2008-Oct-20 23:30","0.000219880276696273","0.000202485852594041","0.000237201952593014","19.1527656703201","18.5092599630027","00:15","31.4"
"","","","","2008 UM1","13","2454761.664273841","2008-Oct-22 03:57","0.000571892483773479","0.000222335323643452","0.000905454522355699","18.1432808597933","17.8846450216981","00:13","32.1"
"","","","","2008 UT95","9","2454772.818873642","2008-Nov-02 07:39","0.00396538231483366","0.00395235970586628","0.00397840441893537","14.5053297590723","14.4589322334838","< 00:01","27.4"
"","","","","2008 VM","7","2454774.437892896","2008-Nov-03 22:31","0.000308979979579532","0.000288921087733566","0.00032896488662139","11.0406319444018","10.2297905807776","00:09","30.2"
"","","","","2008 VB4","7","2454774.626630691","2008-Nov-04 03:02","0.00346466251118204","0.00267353465565447","0.00425426341989594","12.2923970639417","12.2296744338031","05:26","28.2"
"","","","","2008 WG96","8","2454798.662487116","2008-Nov-28 03:54","0.0036308720963616","0.00360511877853743","0.00365662330317362","15.8545368580977","15.8081832889563","< 00:01","26.2"
"","","","","2008 XK","9","2454806.673690016","2008-Dec-06 04:10","0.00410199840107728","0.000209504084461131","0.00842320445913083","13.4560132638653","13.4076537897449","3_16:20","27.2"
"","","","","2009 BH11","11","2454855.577236093","2009-Jan-24 01:51","0.00472286644227587","0.00470430966733026","0.00474142224276688","13.0428157876102","12.9994889220014","< 00:01","26.4"
"","","","","2009 CC2","7","2454865.194747300","2009-Feb-02 16:40","0.00125615120280421","0.00117007243969248","0.00134231778377752","19.8273953844654","19.7201246685644","02:09","27.8"
"","","","","2009 DT43","9","2454889.432376833","2009-Feb-26 22:23","0.00264657543231233","0.00263830556506719","0.00265484475871718","13.7795481508776","13.7062911604892","< 00:01","26.7"
"","","","","2009 EW","12","2454896.651026080","2009-Mar-06 03:37","0.00226510663562988","0.00226190282834592","0.00226831031309827","12.8707199027008","12.7789984129278","< 00:01","26.4"
"","","","","2009 EH1","8","2454898.757646476","2009-Mar-08 06:11","0.00411851379325748","0.0040615066430821","0.00417551096898256","10.6729331023913","10.6121438779703","00:14","27.9"
"","","","","2009 EJ1","7","2454890.328909301","2009-Feb-27 19:54","0.000411454901887197","0.000384002499305063","0.000439253534104897","11.4866658627334","10.9083450345031","05:53","28.4"
"","","","","2009 FP32","7","2454922.499016156","2009-Mar-31 23:59","0.00296261146752092","0.00294474864242676","0.00298047237062049","15.0099749601687","14.9499368349173","00:04","27.7"
"","","","","2009 HJ21","8","2454944.548478807","2009-Apr-23 01:10","0.00324494164029224","0.00323315544010033","0.00325672740569793","20.3779955606913","20.3376613078596","00:01","27.5"
"","","","","2009 HW67","9","2454946.295306128","2009-Apr-24 19:05","0.00270002572138595","0.00267297143454729","0.00272707812397008","22.9983559208745","22.9554068895905","00:02","26.1"
"","","","","2009 JF1","8","2454957.318554181","2009-May-05 19:39","0.00195583429361365","0.00195470534361708","0.00195696323805852","24.0083911840386","23.9515803219917","< 00:01","27.73"
"","","","","2009 JL2","8","2454965.397203415","2009-May-13 21:32","0.00177353149760635","0.00177052739742844","0.00177653540924581","12.9238809204732","12.8071066962368","< 00:01","26.0"
"","","","","2009 KR21","8","2454983.921645722","2009-Jun-01 10:07","0.00189563745959055","0.00186082911865641","0.00193043046035402","12.978536280977","12.8697798835254","00:02","26.7"
"","","","","2009 RY3","9","2455086.153975852","2009-Sep-11 15:42","0.00498228694119963","0.00494241072083585","0.0050221615209835","20.2538381130226","20.2274164802032","< 00:01","24.6"
"","","","","2009 TB","8","2455105.673909586","2009-Oct-01 04:10","0.000464199773646738","0.000361065245113215","0.0005774751705304","15.0973261670451","14.7122185711631","11:46","29.2"
"","","","","2009 TU","14","2455113.492976776","2009-Oct-08 23:50","0.00203812964984902","0.00203559039829962","0.0020406688305957","15.2572310893081","15.1713041190498","< 00:01","27.3"
"","","","","2009 UU1","12","2434308.695904220","1952-Oct-23 04:42","0.0017389444021579","0.0017363974129487","0.148270351021373","10.988428362013","10.8480910221445","9_02:05","24.7"
"","","","","2009 UW87","9","2455135.985145424","2009-Oct-31 11:39","0.00423064189556559","0.00421317017650719","0.00424811210937573","10.8853433504314","10.8273306911276","< 00:01","28.0"
